fund_code,fund_name,fund_cat,ms_eval_3y,ms_eval_5y,fund_date,fund_value,fund_value_change,return_y_pct,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,return_2y,return_3y,return_5y,return_10y,return_since_est,dev_3y,ms_risk_3y,stock_ratio,bond_ratio,top10_stock_ratio,top10_bond_ratio,net_asset,est_date,buy_cond,redeem_cond,min_buy,front_fee,back_fee,redeem_fee,admin_fee,trust_fee,sell_service_fee,on_duty_date,on_duty_mngr,on_duty_return,coeff,aaron_ratio,top_industry,top_industry_ratio
001396,建信互联网+产业升级股票,行业股票 - 科技、传媒及通讯,5,1,2020-02-14,0.8730,-0.0010,5.82,-0.11,0.92,2.11,13.08,26.16,47.22,9.88,8.31,-,-,-12.70,16.02,0.69,89.25,0.00,48.26,-,10.13,2015-06-23,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2015-06-23,何珅华,-12.70,1.1179616498905596,-9.276829102936142,制造业,41.31
110028,易方达安心回报债券 - B,激进债券型基金,8,2,2020-02-14,1.7760,-0.0010,2.13,-0.06,1.25,0.74,6.35,9.56,14.96,7.21,8.02,9.26,-,203.04,7.48,1.9,19.48,103.85,42.51,30.00,119.35,2011-06-21,开放,开放,10,0.00,-,1.50,0.70,0.20,0.40,2014-01-18,张清华,179.66,1.1179616498905596,-2.2062297720274215,制造业,16.15
206018,鹏华产业债债券,普通债券型基金,4,7,2020-02-14,1.1560,0.0010,2.18,0.09,0.61,1.31,3.81,5.01,8.95,9.90,7.83,6.40,-,61.96,2.66,0.79,0.00,109.74,20.98,16.03,21.93,2013-02-06,开放,开放,10,0.80,-,1.50,0.60,0.20,-,2014-03-14,祝松,63.70,1.1179616498905596,3.5538180654645,null,null
002574,招商瑞庆灵活配置混合A,保守混合型基金,6,2,2020-02-14,1.1381,0.0005,0.59,0.04,0.11,-0.25,2.35,4.50,12.68,9.16,9.6,-,-,30.85,4.84,0.83,16.72,92.27,27.92,20.59,5.20,2016-08-24,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2018-09-14,余芽芳,15.78,1.1179616498905596,2.9170566319871263,制造业,8.60
050016,博时宏观回报债券A/B,激进债券型基金,2,5,2020-02-14,1.4300,-0.0010,4.46,-0.07,0.56,2.58,8.42,12.33,16.17,13.47,9.23,4.97,-,55.66,4.25,0.82,13.51,81.21,37.57,29.26,31.53,2010-07-27,开放,开放,10,0.80,1.00,1.50,0.70,0.20,-,2018-03-19,王申,27.01,1.1179616498905596,3.18609715762929,制造业,12.58
050123,博时天颐债券C,激进债券型基金,4,0,2020-02-14,1.4290,-0.0020,5.15,-0.14,-0.28,2.95,9.25,11.99,16.08,11.72,8.88,4.42,-,73.24,3.99,0.8,17.34,105.33,66.70,51.72,9.57,2012-02-29,开放,开放,10,0.00,-,1.50,0.60,0.20,0.40,2018-03-19,张李陵,23.19,1.1179616498905596,3.1530273845880927,制造业,10.26
050116,博时宏观回报债券 - C,激进债券型基金,2,2,2020-02-14,1.4150,-0.0020,4.43,-0.14,0.50,2.54,8.35,12.12,15.79,13.04,8.8,4.70,-,52.27,4.24,0.84,13.51,81.21,37.57,29.26,31.53,2010-07-27,开放,开放,10,0.00,-,1.50,0.70,0.20,0.35,2018-03-19,王申,26.14,1.1179616498905596,2.791468579321534,制造业,12.58
000171,易方达裕丰回报债券,激进债券型基金,4,7,2020-02-14,1.8690,0.0010,1.91,0.05,0.86,0.86,4.06,6.13,9.94,8.39,8.75,9.23,-,86.90,3.26,0.53,15.94,86.84,15.63,9.50,77.65,2013-08-23,开放,开放,10,1.00,-,1.50,0.40,0.10,-,2017-07-28,张清华,23.45,1.1179616498905596,4.036744326029933,制造业,12.88
110027,易方达安心回报债券 - A,激进债券型基金,1,5,2020-02-14,1.7990,-0.0010,2.22,-0.06,1.30,0.84,6.45,9.83,15.55,7.52,8.39,9.64,-,211.75,7.53,1.88,19.48,103.85,42.51,30.00,119.35,2011-06-21,开放,开放,10,0.80,-,1.50,0.70,0.20,-,2014-01-18,张清华,185.57,1.1179616498905596,-1.905270297669584,制造业,16.15
002969,易方达丰和债券,激进债券型基金,2,2,2020-02-14,1.2704,0.0010,1.62,0.08,0.81,0.77,3.41,5.42,8.96,6.74,7.99,-,-,-,3.63,0.71,15.76,103.68,19.77,13.71,82.59,2016-11-23,开放,开放,10,1.00,-,1.50,0.70,0.20,-,2016-11-23,张清华,27.04,1.1179616498905596,2.80693567599762,制造业,12.52
513660,华夏沪港通恒生ETF,香港股票型基金,4,8,2020-02-14,2.6795,0.0115,-0.89,0.43,1.58,-2.34,6.08,10.96,4.11,4.36,7.73,6.31,-,39.11,13.14,0.88,96.97,0.00,60.80,-,10.46,2014-12-23,开放,开放,"1,000,000(份)",-,-,-,0.50,0.10,-,2017-11-10,徐猛,4.44,1.1179616498905596,-7.105630441118699,null,null
110008,易方达稳健收益债券 - B,激进债券型基金,5,3,2020-02-14,1.3096,0.0019,1.25,0.15,1.10,0.19,4.38,6.42,11.11,9.22,7.23,8.76,9.25,185.91,4.62,0.99,16.32,102.69,13.95,7.28,157.29,2005-09-19,开放,开放,1,0.80,-,1.50,0.60,0.20,-,2012-02-29,胡剑,124.88,1.1179616498905596,0.857127025965305,制造业,8.05
110018,易方达增强回报债券 - B,激进债券型基金,6,4,2020-02-14,1.2950,0.0030,0.70,0.23,0.94,-0.38,3.56,4.67,11.88,7.89,7.0,7.70,8.36,162.41,3.92,0.73,20.44,108.72,23.50,11.95,59.84,2008-03-19,开放,开放,10,0.00,-,1.50,0.65,0.20,0.40,2014-07-19,王晓晨,72.16,1.1179616498905596,1.6113954608239465,制造业,8.32
004118,博时裕鹏纯债债券,纯债基金,3,1,2020-02-14,1.0426,0.0003,0.85,0.03,0.20,0.59,1.60,1.95,3.42,5.00,6.52,-,-,21.42,4.72,0.79,0.00,81.84,76.12,76.12,10.54,2016-12-22,开放,开放,1,0.80,-,1.50,0.30,0.10,-,2017-12-29,黄海峰,10.99,1.1179616498905596,0.32204262922459037,null,null
217022,招商产业债券A,普通债券型基金,8,8,2020-02-14,1.4800,0.0000,1.16,0.00,0.27,0.75,2.35,3.28,6.47,7.82,6.36,6.62,-,85.39,1.9,0.49,0.00,116.25,13.39,11.83,86.73,2012-03-21,开放,开放,10,0.80,-,1.50,0.70,0.20,-,2017-05-20,马龙,20.82,1.1179616498905596,3.298925018691472,制造业,0.52
110017,易方达增强回报债券 - A,激进债券型基金,9,9,2020-02-14,1.3050,0.0030,0.77,0.23,0.93,-0.31,3.68,4.86,12.36,8.32,7.47,8.15,8.82,176.14,3.91,0.69,20.44,108.72,23.50,11.95,59.84,2008-03-19,开放,开放,1,0.80,-,1.50,0.65,0.20,-,2014-07-19,王晓晨,76.18,1.1179616498905596,2.081803441764983,制造业,8.32
003547,鹏华丰禄债券,纯债基金,8,7,2020-02-14,1.0579,0.0004,1.43,0.04,0.22,1.05,2.55,4.06,7.83,8.06,6.72,-,-,21.91,1.2,0.18,0.00,99.72,17.77,17.77,19.97,2016-10-27,开放,开放,10,0.80,-,1.50,0.30,0.10,-,2018-05-31,刘涛,14.81,1.1179616498905596,4.630939642390989,null,null
001776,中欧兴利债券,纯债基金,4,3,2020-02-14,1.0344,0.0002,1.19,0.02,0.18,0.83,1.92,2.93,5.66,7.12,5.86,-,-,26.26,1.34,0.49,0.00,114.91,14.75,14.32,39.18,2015-09-25,开放,开放,10,0.80,-,1.50,0.30,0.10,-,2018-08-21,赵国英,10.25,1.1179616498905596,3.4116824857754757,null,null
001868,招商产业债券C,普通债券型基金,5,0,2020-02-14,1.4400,0.0010,1.12,0.07,0.28,0.77,2.20,3.08,5.96,7.29,5.8,-,-,25.54,1.81,0.53,0.00,116.25,13.39,11.83,86.73,2015-09-28,开放,开放,10,0.00,-,1.50,0.70,0.20,0.50,2017-05-20,马龙,19.11,1.1179616498905596,2.848013381825556,null,null
000147,易方达高等级信用债债券 - A,纯债基金,3,2,2020-02-14,1.1490,0.0000,1.50,0.00,0.26,1.06,2.32,3.03,5.53,7.22,5.74,5.01,-,42.27,1.73,0.86,0.00,118.03,9.39,9.39,101.10,2013-08-23,开放,开放,10,0.80,-,1.50,0.50,0.15,0.00,2019-09-18,林森,2.58,1.1179616498905596,2.544344277875637,null,null
002549,嘉实稳祥纯债债券A,纯债基金,2,3,2020-02-14,1.2034,0.0000,0.85,0.00,0.07,0.67,1.50,1.88,3.97,6.57,5.63,-,-,20.34,1.34,0.22,0.00,86.49,23.81,23.81,12.63,2016-03-18,开放,开放,1,0.80,-,1.50,0.30,0.10,-,2019-11-02,王亚洲,1.66,1.1179616498905596,3.475950920634117,null,null
003847,华安鼎丰债券,纯债基金,4,3,2020-02-14,1.0415,0.0000,1.71,0.00,0.15,1.34,2.52,3.05,6.03,7.23,6.24,-,-,-,1.41,0.29,0.00,107.46,34.09,34.09,37.45,2016-11-30,开放,开放,1,0.80,-,1.50,0.30,0.10,-,2016-11-30,李邦长,21.08,1.1179616498905596,3.8815868107916325,null,null
000148,易方达高等级信用债债券 - C,纯债基金,0,0,2020-02-14,1.1470,0.0000,1.41,0.00,0.26,1.06,2.23,2.86,5.17,6.93,6.05,5.03,-,41.33,2.01,0.96,0.00,118.03,9.39,9.39,101.10,2013-08-23,开放,开放,10,0.00,-,1.50,0.50,0.15,0.40,2019-09-18,林森,2.50,1.1179616498905596,2.4416346482835536,null,null
160618,鹏华丰泽债券（LOF),普通债券型基金,6,9,2020-02-14,1.3463,0.0007,1.04,0.05,0.23,0.72,1.77,1.98,4.84,7.87,5.98,6.04,-,34.63,1.79,0.24,0.00,113.81,17.93,16.37,38.52,2014-12-08,开放,开放,1,0.00,-,1.50,0.70,0.20,-,2019-09-18,祝松,1.85,1.1179616498905596,3.3190206936753146,金融业,4.24
003819,广发景华纯债债券,纯债基金,7,3,2020-02-14,1.0554,0.0007,1.66,0.07,0.35,1.17,2.71,3.00,5.21,5.92,5.76,-,-,19.72,1.51,0.58,0.00,119.88,35.59,35.58,7.21,2016-11-28,开放,开放,10,0.80,-,1.50,0.30,0.10,-,2019-10-18,谭昌杰,2.78,1.1179616498905596,3.0622339791922757,null,null
519782,交银施罗德裕隆纯债债券A,纯债基金,4,1,2020-02-14,1.1923,0.0011,1.52,0.09,0.33,1.15,2.40,3.59,5.74,6.90,5.73,-,-,19.23,1.45,0.59,0.00,130.09,27.36,27.36,8.17,2016-11-28,开放,开放,10,0.80,-,1.50,0.30,0.10,-,2019-09-30,黄莹洁,2.77,1.1179616498905596,3.0853994272173164,null,null
000286,银华信用季季红债券A,普通债券型基金,3,3,2020-02-14,1.0610,0.0010,1.04,0.09,0.19,0.66,1.72,2.20,4.16,5.82,5.61,6.00,-,46.59,1.46,0.27,0.00,120.72,13.74,13.74,36.75,2013-09-18,开放,开放,10,0.70,-,1.50,0.36,0.20,-,2016-10-18,邹维娜,19.41,1.1179616498905596,3.2880612193174774,null,null
000220,富国医疗保健行业混合,激进配置型基金,7,4,2020-02-14,3.1300,0.0110,15.80,0.35,2.86,10.21,9.25,33.48,70.20,39.47,22.49,15.36,-,213.00,20.75,1.05,86.25,0.00,61.28,-,12.83,2013-08-07,开放,开放,10,1.50,1.80,1.50,1.50,0.25,-,2018-02-27,于洋,86.75,1.1179616498905596,-1.6830308694384926,制造业,64.33
519783,交银施罗德裕隆纯债债券C,纯债基金,6,8,2020-02-14,1.1851,0.0012,1.46,0.10,0.32,1.12,2.30,3.38,5.31,6.92,5.61,-,-,18.51,1.45,0.65,0.00,130.09,27.36,27.36,8.17,2016-11-28,开放,开放,10,0.00,-,1.50,0.30,0.10,0.40,2019-09-30,黄莹洁,2.61,1.1179616498905596,2.9180612193174773,null,null
070009,嘉实超短债债券,短债基金,4,3,2020-02-14,1.0562,0.0002,0.61,0.02,0.13,0.45,1.11,1.71,3.23,4.16,4.2,3.69,3.71,61.27,0.82,1.13,0.00,68.07,7.82,7.24,249.45,2006-04-26,开放,开放,100,0.00,-,1.50,0.41,0.14,0.25,2017-05-24,李金灿,12.25,1.1179616498905596,1.8068372764943685,null,null
270047,广发理财30天债券B,短债基金,2,9,2020-02-14,1.0000,0.0000,0.35,0.01,0.05,0.23,0.70,1.35,2.80,3.47,3.85,3.86,-,33.93,0.24,0.0,0.00,84.28,23.94,12.99,380.32,2013-01-14,开放,开放,"5,000,000",0.00,-,0.00,0.27,0.08,0.01,2016-07-22,温秀娟,14.27,1.1179616498905596,3.2037675034531707,null,null
